Detailed Car Title,Seller Location,Phone Number,E-car Producer,First Registration,Charge Rate,Price ($),Current Mileage,Max Speed (km/h),Battery (kWh),Engine Capacity (p.h.),Car URL
BYD YUAN Flagship Specification,Hunan; China,,BYD Auto,2022,510,25 500,,175,60.48,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-yuan-flagship
Tesla Model Y (standart) Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,TESLA,2021,507,65 000,,217,75,346,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/tesla-model-y-standart
VOLKSWAGEN E-BORA Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,VOLKSWAGEN,2022,370,24 000,,150,39.76,136,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/volkswagen-e-bora
Mercedes-Benz EQC 400 Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,MERCEDES,2022,417,101 000,,180,80,402,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/mercedes-benz-eqc-400-349
LEXUS UX300e Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,LEXUS,2020,400,45 000,,160,54.3,201,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/lexus-ux300e-348
ENOVATE ME 7 (top version) Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,other,2021,550,38 000,,160,87,215,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/enovate-me-7-top-version
HONGQI E-HS9 (top version) Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,HongQi,2022,660,140 000,,200,120,543,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/hongqi-e-hs9-top-version
TOYOTA C-HR EV Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,TOYOTA,2021,400,35 000,,160,54.3,150,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/toyota-c-hr-ev
WELTMEISTER EX5-Z FUN 400 (top) Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,WELTMEISTER,2022,403,35 000,,150,52.6,218,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/weltmeister-ex5-z-fun-400-top
BYD TANG EV (top version) Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,BYD Auto,2021,565,62 000,,180,180,565,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/byd-tang-ev-top-version
HONDA M-NV (top version) Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,DONGFENG,2021,480,34 000,,140,61,163,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/honda-m-nv-top-version
AUDI Q2L E-tron Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,AUDI,2021,265,36 000,,150,39.7,134,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/audi-q2l-e-tron
Zeekr 001 YOU Specification,Hunan; China,,ZEEKR,2022,650,62 500,,200,100,208,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/zeekr-001-you-339
Voyah Free (top version) Specification,Hunan; China,,DONGFENG,2022,475,55 000,,200,88,693,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/voyah-free-top-version
VOLVO Polestar (single motor) Specification,Hunan; China,,VOLVO,2022,510,39 000,,160,78,228,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volvo-polestar-single-motor
NIO ET7 (CUSTOM) Specification,Hunan; China,,NIO,2022,700,81 000,,200,100,653,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/nio-et7-custom
Nio ES8 (Seven-seat version) Specification,Hunan; China,,NIO,2022,425,81 600,,200,84,653,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/nio-es8-seven-seat-version
Nio ES6 Specification,Hunan; China,,NIO,2022,510,71 150,,200,84,544,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/nio-es6
Neta U pro 500 Specification,Hunan; China,,Hozon Auto,2022,500,27 800,,155,68,163,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/neta-u-pro-500
Mecedez EQS Specification,"Hunan, China",,MERCEDES,2022,450,114 000,,180,80,408,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/mecedez-eqs
Mecedez EQC 400 Specification,Hunan; China,,MERCEDES,2022,460,67 000,,180,80,402,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/mecedez-eqc-400
Li Xang Auto L9 Extended Range Specification,Hunan; China,,other,2022,1315,70 300,,180,330,440,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/li-xang-auto-l9-extended-range
VOLKSWAGEN ID4 X Lite Pro Specification,Hunan; China,,VOLKSWAGEN,2022,550,,,160,84.8,168,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id4-x-lite-pro
VOLKSWAGEN ID4 X Pure + Specification,Hunan; China,,VOLKSWAGEN,2022,520,28 500,,160,62.0,102,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id4-x-pure-328
VOLKSWAGEN ID4 X Pure Specification,Hunan; China,,VOLKSWAGEN,2022,400,,,160,62.0,200,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id4-x-pure-327
Voyah Free (top version) Specification,Hunan; China,,DONGFENG,2022,475,55 000,,200,88,693,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/voyah-free-top-version
VOLVO Polestar (single motor) Specification,Hunan; China,,VOLVO,2022,510,39 000,,160,78,228,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volvo-polestar-single-motor
NIO ET7 (CUSTOM) Specification,Hunan; China,,NIO,2022,700,81 000,,200,100,653,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/nio-et7-custom
Nio ES8 (Seven-seat version) Specification,Hunan; China,,NIO,2022,425,81 600,,200,84,653,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/nio-es8-seven-seat-version
Nio ES6 Specification,Hunan; China,,NIO,2022,510,71 150,,200,84,544,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/nio-es6
Neta U pro 500 Specification,Hunan; China,,Hozon Auto,2022,500,27 800,,155,68,163,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/neta-u-pro-500
Mecedez EQS Specification,"Hunan, China",,MERCEDES,2022,450,114 000,,180,80,408,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/mecedez-eqs
Mecedez EQC 400 Specification,Hunan; China,,MERCEDES,2022,460,67 000,,180,80,402,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/mecedez-eqc-400
Li Xang Auto L9 Extended Range Specification,Hunan; China,,other,2022,1315,70 300,,180,330,440,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/li-xang-auto-l9-extended-range
VOLKSWAGEN ID4 X Lite Pro Specification,Hunan; China,,VOLKSWAGEN,2022,550,,,160,84.8,168,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id4-x-lite-pro
VOLKSWAGEN ID4 X Pure + Specification,Hunan; China,,VOLKSWAGEN,2022,520,28 500,,160,62.0,102,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id4-x-pure-328
VOLKSWAGEN ID4 X Pure Specification,Hunan; China,,VOLKSWAGEN,2022,400,,,160,62.0,200,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/volkswagen-id4-x-pure-327
Huawei Seres SF5 Specification,Hunan; China,,other,2022,180,29 400,,180,35,221,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/huawei-seres-sf5
HongQi EHS9 Specification,Hunan; China,,HongQi,2022,660,92 800,,200,120,543,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/hongqi-ehs9
Honda e:NS 1 Specification,Hunan; China,,HONDA,2022,510,,,150,68.8,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/honda-e-ns-1
Honda MNV Specification,"Hunan, China",,HONDA,2022,480,21 000,,140,61,163,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/honda-mnv
FAW Bestune NAT Specification,Hunan; China,,other,2022,419,17 300,,130,55,136,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/faw-bestune-nat
BYD Song Plus Specification,Hunan; China,,BYD Auto,2022,505,30 100,,185,72,184,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-song-plus
BYD Yuan Pro Specification,Hunan; China,,BYD Auto,2022,401,18 300,,140,50.1,136,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-yuan-pro-319
BYD Yuan Plus Specification,Hunan; China,,BYD Auto,2022,510,25 000,,175,60.48,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-yuan-plus
BYD Yuan Plus (Flagship Version) Specification,Hunan; China,,BYD Auto,2022,510,26 000,,175,60.48,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-yuan-plus-flagship-version
BYD Tang (top version) 4WD Specification,Hunan; China,,BYD Auto,2022,635,52 000,,180,17.6 kWh/100 km,517,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-tang-top-version-4wd
BYD Han 4WD (Qianshan Cui) Specification,Hunan; China,,BYD Auto,2022,550,50 000,,180,76.9,494,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-han-4wd-qianshan-cui
BYD Han 4WD Specification,hunan China,,BYD Auto,2022,550,46 000,,180,76.9,494,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-han-4wd-314
BMW IX3 Specification,Hunan; China,,BMW,2022,458,56 000,,180,80,286,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/bmw-ix3-313
VOLKSWAGEN ID.4 CROZZ PRO Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,VOLKSWAGEN,2021,550,43 000,,160,84.8,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/volkswagen-id-4-crozz-pro
Tesla Model 3 Startech + Vossen Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,TESLA,2021,438,,,225,50,201,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/tesla-model-3-startech-vossen
Tesla Model 3 standart Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,TESLA,2021,438,58 000,,225,50,201,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/tesla-model-3-standart
Tesla Model 3 Performance Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,TESLA,2021,500,75 000,,250,75,258,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/tesla-model-3-performance
VOLKSWAGEN ID.4 X PURE + Specification,"Almaty 050000, Kazakhstan",,VOLKSWAGEN,2021,400,40 000,,160,62.0,200,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/volkswagen-id-4-x-pure-308
VOLKSWAGEN ID.4 X PURE+ Specification,"Almaty 050000, Kazakhstan",,VOLKSWAGEN,2021,400,40 000,,160,62,200,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/volkswagen-id-4-x-pure-307
VOLKSWAGEN ID.4 X PURE + Specification,"улица Жибек Жолы 76, Almaty 050000, Kazakhstan",,VOLKSWAGEN,2021,400,40 000,,160,62.0,200,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/volkswagen-id-4-x-pure-306
Mercedes-Benz EQC350 Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,MERCEDES,2021,361,90 000,,180,210,286,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/mercedes-benz-eqc350
Tesla Model Y Peformance Specification,Shanghai,,TESLA,2022,610,63 500,,260,78.4,486,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/tesla-model-y-peformance
FAW ID4 crozz Specification,,,VOLKSWAGEN,2022,460km,26 888,,160km/h,132,170hp,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/faw-id4-crozz
FAW ID.6 crozz Specification,,,VOLKSWAGEN,2022,460km,33 341,,160km/h,132,180,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/faw-id-6-crozz
BMW IX3 Specification,Hunan; China,,BMW,2022,458,56 000,,180,80,286,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/bmw-ix3-313
VOLKSWAGEN ID.4 CROZZ PRO Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,VOLKSWAGEN,2021,550,43 000,,160,84.8,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/volkswagen-id-4-crozz-pro
Tesla Model 3 Startech + Vossen Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,TESLA,2021,438,,,225,50,201,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/tesla-model-3-startech-vossen
Tesla Model 3 standart Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,TESLA,2021,438,58 000,,225,50,201,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/tesla-model-3-standart
Tesla Model 3 Performance Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,TESLA,2021,500,75 000,,250,75,258,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/tesla-model-3-performance
VOLKSWAGEN ID.4 X PURE + Specification,"Almaty 050000, Kazakhstan",,VOLKSWAGEN,2021,400,40 000,,160,62.0,200,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/volkswagen-id-4-x-pure-308
VOLKSWAGEN ID.4 X PURE+ Specification,"Almaty 050000, Kazakhstan",,VOLKSWAGEN,2021,400,40 000,,160,62,200,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/volkswagen-id-4-x-pure-307
VOLKSWAGEN ID.4 X PURE + Specification,"улица Жибек Жолы 76, Almaty 050000, Kazakhstan",,VOLKSWAGEN,2021,400,40 000,,160,62.0,200,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/volkswagen-id-4-x-pure-306
Mercedes-Benz EQC350 Specification,"Jibek-Joli street, 76, Almaty 050000, Kazakhstan",,MERCEDES,2021,361,90 000,,180,210,286,https://motorwatt.com/ev-marketplace/electric-cars/ev/kazakhstan/mercedes-benz-eqc350
Tesla Model Y Peformance Specification,Shanghai,,TESLA,2022,610,63 500,,260,78.4,486,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/tesla-model-y-peformance
FAW ID4 crozz Specification,,,VOLKSWAGEN,2022,460km,26 888,,160km/h,132,170hp,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/faw-id4-crozz
FAW ID.6 crozz Specification,,,VOLKSWAGEN,2022,460km,33 341,,160km/h,132,180,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/faw-id-6-crozz
BYD TANG EV 2wd Specification,Shanghai,,BYD Auto,2022,730,By request,,180,108,228,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/byd-tang-ev-2wd
FAW Besturn B30EV Specification,Shanghai,,other,2022,205,12 300,,140,32,108,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/faw-besturn-b30ev
LIFAN LF650 Specification,Shanghai,,LIFAN,2018,300,7 300,,140,,43,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/lifan-lf650
Huawei Seres3 Specification,"г. Москва, ул.Кировоградская 11 Б",,iEV Motors,2022,405,55 000,,155,53,163,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/huawei-seres3
POLESTAR 2 Specification,"Gaoxin road 31,XiAn high-tech zone,XiAn,China",,POLESTAR,2022,568,33 750,,160,78,231,https://motorwatt.com/ev-marketplace/electric-cars/ev/china/polestar-2
JAC IEV-7S - crossover Specification,"Москва, Россия",,JAC MOTORS,2021,350,52 000,,130,43,116,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/jac-iev-7s
Ford Territory EV Specification,"Витебская область г.Орша, ул. П.Лепешинского, д.67/7",,FORD,2021,450,by request,,150,"60,4",120,https://motorwatt.com/ev-marketplace/electric-cars/ev/belarus/ford-territory-ev
Hyundai Kona Specification,"г. Орша, ул. П. Лепешинского, 67",,HYUNDAI,2019,460,by request,,,64,150,https://motorwatt.com/ev-marketplace/electric-cars/ev/belarus/hyundai-kona
Honqgi E-HS 9 Specification,"г. Орша, ул. П. Лепешинского, 67",,HongQi,2021,510,by request,,200,80,436,https://motorwatt.com/ev-marketplace/electric-cars/ev/belarus/honqgi-e-hs-9
Volkswagen e-Lavida Specification,"г.Орша,ул. П.Лепешинского, 67",,VOLKSWAGEN,2020,350,22 700,,180,41,100,https://motorwatt.com/ev-marketplace/electric-cars/ev/belarus/volkswagen-e-lavida
Xpeng G3 520i Specification,"Витебская область, г.Орша, ул. Лепешинского, 67",,XPENG,2019,400,23 000,,170,66,197,https://motorwatt.com/ev-marketplace/electric-cars/ev/belarus/xpeng-g3-520i
Chery Tiggo Specification,"г. Орша, ул.Лепешинского, 67",,CHERY,2019,400,20 800,,151,"53,6",95,https://motorwatt.com/ev-marketplace/electric-cars/ev/belarus/chery-tiggo
Volkswagen Lavida Specification,"г.Орша, ул.Лепешинского, 67",,,,,22 700,,,,,https://motorwatt.com/ev-marketplace/electric-cars/ev/belarus/volkswagen-lavida
Renault City K-ZE Specification,"г.Орша, ул. Лепешинского, 67",,RENAULT,2019,200,15 505,,105,33,33 - 45 л.с.,https://motorwatt.com/ev-marketplace/electric-cars/ev/belarus/renault-city-k-ze
Ora R1 EV Long Range Base Specification,"г. Москва, ул.Кировоградская 11 Б",,GWM ORA UK,2022,310,42 000,,120,33,48,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/ora-r1-ev-long-range-base
BAIC EX5 - crossover Specification,"г. Москва, ул. Зацепа 21",,BAIC BJEV,2022,520,45 000,,155,"61,8",218,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/baic-ex5-krossover
HongQi E-HS9 6 Specification,"г. Москва, ул. Зацепа 21",,HongQi,2022,510,170 000,,200,,436,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/elektromobil-hongqi-e-hs9-6
HongQi E-HS9 4 Specification,"г. Москва, ул. Зацепа 21",,HongQi,2022,510,187 000,,200,,436,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/elektromobil-hongqi-e-hs9-4
Tesla Model X 2016 Specification,"г. Москва, ул. Зацепа 21",,TESLA,2016,489,92 000,,220,90,762,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/elektromobil-tesla-model-x-2016
Tesla Model 3 Performance 2019 Specification,"г. Москва, ул. Зацепа 21",,TESLA,2022,567,80 000,,261,,462,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-3-performance-2019
Tesla Model 3 Performance 2021 Specification,"г. Москва, ул. Зацепа 21",,TESLA,2021,567,115 000,,261,82,462,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-3-performance-2021
Tesla Model S 75D facelift Specification,"г. Москва, ул. Зацепа 21",,TESLA,2016,480,66 750,,225,75,541,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-s-75d-restajling
Tesla Model S 100D Long Range Specification,"г. Москва, ул. Зацепа 21",,TESLA,2019,610,119 000,,225,100,562,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-s-100d-long-range
Taycan Turbo S Cross Turismo Specification,"г. Москва, ул. Зацепа 21",,PORSCHE,2022,452,317 000,,250,93.4,670,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/taycan-turbo-s-cross-turismo
Volkswagen Lavida Specification,"г.Орша, ул.Лепешинского, 67",,,,,22 700,,,,,https://motorwatt.com/ev-marketplace/electric-cars/ev/belarus/volkswagen-lavida
Renault City K-ZE Specification,"г.Орша, ул. Лепешинского, 67",,RENAULT,2019,200,15 505,,105,33,33 - 45 л.с.,https://motorwatt.com/ev-marketplace/electric-cars/ev/belarus/renault-city-k-ze
Ora R1 EV Long Range Base Specification,"г. Москва, ул.Кировоградская 11 Б",,GWM ORA UK,2022,310,42 000,,120,33,48,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/ora-r1-ev-long-range-base
BAIC EX5 - crossover Specification,"г. Москва, ул. Зацепа 21",,BAIC BJEV,2022,520,45 000,,155,"61,8",218,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/baic-ex5-krossover
HongQi E-HS9 6 Specification,"г. Москва, ул. Зацепа 21",,HongQi,2022,510,170 000,,200,,436,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/elektromobil-hongqi-e-hs9-6
HongQi E-HS9 4 Specification,"г. Москва, ул. Зацепа 21",,HongQi,2022,510,187 000,,200,,436,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/elektromobil-hongqi-e-hs9-4
Tesla Model X 2016 Specification,"г. Москва, ул. Зацепа 21",,TESLA,2016,489,92 000,,220,90,762,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/elektromobil-tesla-model-x-2016
Tesla Model 3 Performance 2019 Specification,"г. Москва, ул. Зацепа 21",,TESLA,2022,567,80 000,,261,,462,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-3-performance-2019
Tesla Model 3 Performance 2021 Specification,"г. Москва, ул. Зацепа 21",,TESLA,2021,567,115 000,,261,82,462,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-3-performance-2021
Tesla Model S 75D facelift Specification,"г. Москва, ул. Зацепа 21",,TESLA,2016,480,66 750,,225,75,541,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-s-75d-restajling
Tesla Model S 100D Long Range Specification,"г. Москва, ул. Зацепа 21",,TESLA,2019,610,119 000,,225,100,562,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-s-100d-long-range
Taycan Turbo S Cross Turismo Specification,"г. Москва, ул. Зацепа 21",,PORSCHE,2022,452,317 000,,250,93.4,670,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/taycan-turbo-s-cross-turismo
WELTMEISTER EX5-Z FUN Specification,"г. Москва, ул.Кировоградская 11 Б",,VOLVO,2022,400,63 000,,150,54,218,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/weltmeister-ex5-z-fun
Volkswagen ID.4X CROZZ Pure+ Specification,"г. Москва, ул.Кировоградская 11 Б",,VOLKSWAGEN,2022,550,72 000,,160,84,204,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/volkswagen-id-4x-crozz-pure
Honda Siming M-NV Specification,"г. Москва, ул.Кировоградская 11 Б",,HONDA,2021,410-480,57 900,,140,61,163,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/honda-siming-m-nv
Xpeng G3 520i Top Version Specification,"г. Москва, ул.Кировоградская 11 Б",,XPENG,2021,460- 520,70 130,,170,67,197,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/xpeng-g3-520i-top-version
BAIС EX5 Specification,"г. Москва, ул.Кировоградская 11 Б",,BAIC BJEV,2019,415,49 200,,150,62,208,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/baic-ex5
Polestar 2 Launch Edition Specification,"г. Москва, ул.Кировоградская 11 Б",,POLESTAR,2020,450,112 500,,205,71,408,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/polestar-2-launch-edition-259
GAC AION Y 70 Specification,"г. Москва, ул.Кировоградская 11 Б",,,2021,500,57 000,,150,64,184,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/gac-aion-y-70
Ora Good Cat LR Specification,"г. Москва, ул.Кировоградская 11 Б",,GWM ORA UK,2021,410-500,50 000,,150,59,150,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/ora-good-cat-lr
BAIC EU5 Plus Specification,"г. Москва, ул.Кировоградская 11 Б",,,2021,416-500,48 300,,155,60,150,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/baic-eu5-plus
BAIC EX3 Specification,"г. Москва, ул.Кировоградская 11 Б",,,2020,470,47 500,,150,63,200,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/baic-ex3
BAIC Beijing EU7 Specification,"г. Москва, ул.Кировоградская 11 Б",,,2020,451,48 300,,155,60,200,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/baic-beijing-eu7
DONGFENG S50 EV Specification,"г. Москва, ул.Кировоградская 11 Б",,DONGFENG,2022,410-500,45 850,,150,57,122,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/dongfeng-s50-ev
BAIC EX5 – crossover 2021 Specification,"Кировоградская улица 11.б, г. Москва, Россия",,,2021,415-520,45 000,,,,218,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/baic-ex5-2021
BAIC EU-5 R550 2021 Specification,"г. Москва, ул. Зацепа 21",,,2021,570,44 000,,,,100,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/baic-eu-5-r550-2021
Audi Q4 e-tron 2021 Specification,"г. Москва, ул. Зацепа 21",,,2021,500,by request,,,,302,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/audi-q4-e-tron-2021
Tesla Model S Plaid 2021 Specification,"г. Москва, ул. Зацепа 21",,TESLA,2021,628,180 000,,,,100,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-s-plaid-2021
Volkswagen Golf VII e-Golf new Specification,,,VOLKSWAGEN,2018,192,66 500,,,,115,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/volkswagen-golf-vii-e-golf-novyj
Audi E-tron S Sportback Specification,"г. Москва, ул. Зацепа 21",,,2021,364,105 000,,,,100,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/audi-e-tron-s-sportback
Nissan Leaf II SV 2018 (red) Specification,,,NISSAN,2018,270,30 800,,144,,170,https://motorwatt.com/ev-marketplace/electric-cars/ev/nissan-leaf-ii-sv-2018-red
Nissan Leaf II SV 2018 Specification,,,NISSAN,2018,270,32 000,,144,,170,https://motorwatt.com/ev-marketplace/electric-cars/ev/nissan-leaf-ii-sv-2018
BMW i3 2018 Specification,"г. Москва, ул. Зацепа 21",,BMW,2018,250,44 000,,150,,184,https://motorwatt.com/ev-marketplace/electric-cars/ev/elektromobil-bmw-i3-v-nalichii
BMW iX3 2020 Specification,"Москва, улица Зацепа, 21",,BMW,2020,460,71 000,,200,,282,https://motorwatt.com/ev-marketplace/electric-cars/ev/bmw-ix3-2020
Tesla Model X Plaid Specification,"г. Москва, ул. Зацепа 21",,TESLA,2021,547,180 000,,,,100,https://motorwatt.com/ev-marketplace/electric-cars/ev/tesla-model-x-plaid
"BMW i3, 2018 (blue) Specification",,,BMW,2018,250,40 000,,150,,100,https://motorwatt.com/ev-marketplace/electric-cars/ev/bmw-i3-2018
BAIC EX5 – crossover 2021 Specification,"Кировоградская улица 11.б, г. Москва, Россия",,,2021,415-520,45 000,,,,218,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/baic-ex5-2021
BAIC EU-5 R550 2021 Specification,"г. Москва, ул. Зацепа 21",,,2021,570,44 000,,,,100,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/baic-eu-5-r550-2021
Audi Q4 e-tron 2021 Specification,"г. Москва, ул. Зацепа 21",,,2021,500,by request,,,,302,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/audi-q4-e-tron-2021
Tesla Model S Plaid 2021 Specification,"г. Москва, ул. Зацепа 21",,TESLA,2021,628,180 000,,,,100,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/tesla-model-s-plaid-2021
Volkswagen Golf VII e-Golf new Specification,,,VOLKSWAGEN,2018,192,66 500,,,,115,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/volkswagen-golf-vii-e-golf-novyj
Audi E-tron S Sportback Specification,"г. Москва, ул. Зацепа 21",,,2021,364,105 000,,,,100,https://motorwatt.com/ev-marketplace/electric-cars/ev/russia/audi-e-tron-s-sportback
